CA;V5K;Vancouver (North Hastings-Sunrise);British Columbia;49.2807;-123.0397
CA;V5L;Vancouver (North Grandview-Woodlands);British Columbia;49.2795;-123.0667
CA;V5M;Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood);British Columbia;49.26;-123.0398
CA;V5N;Vancouver (South Grandview-Woodlands / NE Kensington);British Columbia;49.2551;-123.0667
CA;V5P;Vancouver (SE Kensington / Victoria-Fraserview);British Columbia;49.222;-123.0683
CA;V5R;Vancouver (South Renfrew-Collingwood);British Columbia;49.2397;-123.0407
CA;V5S;Vancouver (Killarney);British Columbia;49.2175;-123.038
CA;V5T;Vancouver (East Mount Pleasant);British Columbia;49.262;-123.0923
CA;V5V;Vancouver (West Kensington / NE Riley Park-Little Mountain);British Columbia;49.248;-123.0913
CA;V5W;Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset);British Columbia;49.2327;-123.0917
CA;V5X;Vancouver (SE Oakridge / East Marpole / South Sunset);British Columbia;49.2156;-123.0979
CA;V5Y;Vancouver (West Mount Pleasant / West Riley Park-Little Mountain);British Columbia;49.2492;-123.1104
CA;V5Z;Vancouver (East Fairview / South Cambie);British Columbia;49.2475;-123.121
CA;V6A;Vancouver (Strathcona / Chinatown / Downtown Eastside);British Columbia;49.2779;-123.0908
CA;V6B;Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown);British Columbia;49.2788;-123.1139
CA;V6C;Vancouver (Waterfront / Coal Harbour / Canada Place);British Columbia;49.2866;-123.1158
CA;V6E;Vancouver (South West End);British Columbia;49.2833;-123.1298
CA;V6G;Vancouver (North West End / Stanley Park);British Columbia;49.299;-123.1408
CA;V6H;Vancouver (West Fairview / Granville Island / NE Shaughnessy);British Columbia;49.2559;-123.1322
CA;V6J;Vancouver (NW Shaughnessy / East Kitsilano / Quilchena);British Columbia;49.2603;-123.146
CA;V6K;Vancouver (Central Kitsilano);British Columbia;49.2646;-123.1648
CA;V6L;Vancouver (NW Arbutus Ridge);British Columbia;49.2497;-123.166
CA;V6M;Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge);British Columbia;49.2344;-123.1451
CA;V6N;Vancouver (Dunbar-Southlands / Musqueam);British Columbia;49.2302;-123.189
CA;V6P;Vancouver (SE Kerrisdale / SW Oakridge / West Marpole);British Columbia;49.2151;-123.1396
CA;V6R;Vancouver (West Kitsilano / Jericho);British Columbia;49.2666;-123.1976
CA;V6S;Vancouver (Chaldecutt / South University Endowment Lands);British Columbia;49.2491;-123.2088
CA;V6T;Vancouver (UBC);British Columbia;49.4635;-122.822
CA;V6Z;Vancouver (SW Downtown);British Columbia;49.2767;-123.13
CA;V7G;North Vancouver Outer East;British Columbia;49.3678;-122.9278
CA;V7H;North Vancouver Inner East;British Columbia;49.3551;-122.9802
CA;V7J;North Vancouver East Central;British Columbia;49.3622;-123.0178
CA;V7K;North Vancouver North Central;British Columbia;49.3597;-123.0377
CA;V7L;North Vancouver South Central;British Columbia;49.316;-123.0576
CA;V7M;North Vancouver Southwest Central;British Columbia;49.3222;-123.0834
CA;V7N;North Vancouver Northwest Central;British Columbia;49.35;-123.0679
CA;V7P;North Vancouver Southwest;British Columbia;49.322;-123.1149
CA;V7R;North Vancouver Northwest;British Columbia;49.3775;-123.0862
CA;V7S;West Vancouver North;British Columbia;49.3745;-123.1864
CA;V7T;West Vancouver Southeast;British Columbia;49.3322;-123.1417
CA;V7V;West Vancouver South;British Columbia;49.3397;-123.1912
CA;V7W;West Vancouver West;British Columbia;49.3615;-123.2627
CA;V7X;Vancouver (Bentall Centre);British Columbia;49.2935;-123.1162
CA;V7Y;Vancouver (Pacific Centre);British Columbia;49.2819;-123.119
